       x      y[0]       y[1]
-------------- rkf ----------------
  0.387000  -1.143179   0.308267
  0.388000  -1.142023   0.307980
  0.389000  -1.140873   0.307695
  0.390000  -1.139729   0.307410
  0.391000  -1.138590   0.307128
  0.392000  -1.137458   0.306847
  0.393000  -1.136331   0.306567
  0.394000  -1.135210   0.306288
  0.395000  -1.134095   0.306012
  0.396000  -1.132986   0.305736
  0.397000  -1.131882   0.305462
  0.398000  -1.130784   0.305190
  0.399000  -1.129692   0.304919
  0.400000  -1.128605   0.304649
  0.401000  -1.127524   0.304381
  0.402000  -1.126449   0.304114
  0.403000  -1.125379   0.303849
  0.404000  -1.124315   0.303585
  0.405000  -1.123257   0.303322
  0.406000  -1.122204   0.303061
  0.407000  -1.121156   0.302801
  0.408000  -1.120114   0.302543
  0.409000  -1.119078   0.302286
  0.410000  -1.118047   0.302030
  0.411000  -1.117021   0.301776
  0.412000  -1.116001   0.301523
  0.413000  -1.114986   0.301272
  0.414000  -1.113977   0.301021
  0.415000  -1.112973   0.300773
  0.416000  -1.111974   0.300525
  0.417000  -1.110981   0.300279
  0.418000  -1.109993   0.300034
  0.419000  -1.109010   0.299791
  0.420000  -1.108032   0.299549
  0.421000  -1.107060   0.299308
  0.422000  -1.106093   0.299069
  0.423000  -1.105131   0.298831
  0.424000  -1.104175   0.298594
  0.425000  -1.103224   0.298358
  0.426000  -1.102277   0.298124
  0.427000  -1.101336   0.297891
  0.428000  -1.100400   0.297660
  0.429000  -1.099470   0.297429
  0.430000  -1.098544   0.297200
  0.431000  -1.097623   0.296973
  0.432000  -1.096708   0.296746
  0.433000  -1.095797   0.296521
  0.434000  -1.094891   0.296297
  0.435000  -1.093991   0.296075
  0.436000  -1.093095   0.295853
  0.437000  -1.092205   0.295633
  0.438000  -1.091319   0.295414
  0.439000  -1.090438   0.295197
  0.440000  -1.089563   0.294980
  0.441000  -1.088692   0.294765
  0.442000  -1.087826   0.294551
  0.443000  -1.086964   0.294338
  0.444000  -1.086108   0.294127
  0.445000  -1.085257   0.293917
  0.446000  -1.084410   0.293708
  0.447000  -1.083568   0.293500
  0.448000  -1.082731   0.293293
  0.449000  -1.081899   0.293088
  0.450000  -1.081071   0.292884
  0.451000  -1.080248   0.292681
  0.452000  -1.079430   0.292479
  0.453000  -1.078616   0.292278
  0.454000  -1.077808   0.292079
  0.455000  -1.077003   0.291880
  0.456000  -1.076204   0.291683
  0.457000  -1.075409   0.291487
  0.458000  -1.074619   0.291292
  0.459000  -1.073833   0.291099
  0.460000  -1.073052   0.290906
  0.461000  -1.072275   0.290715
  0.462000  -1.071503   0.290525
  0.463000  -1.070736   0.290336
  0.464000  -1.069973   0.290148
  0.465000  -1.069214   0.289961
  0.466000  -1.068460   0.289776
  0.467000  -1.067711   0.289591
  0.468000  -1.066966   0.289408
  0.469000  -1.066225   0.289225
  0.470000  -1.065489   0.289044
  0.471000  -1.064757   0.288864
  0.472000  -1.064029   0.288685
  0.473000  -1.063306   0.288508
  0.474000  -1.062588   0.288331
  0.475000  -1.061873   0.288155
  0.476000  -1.061163   0.287981
  0.477000  -1.060457   0.287807
  0.478000  -1.059756   0.287635
  0.479000  -1.059059   0.287464
  0.480000  -1.058366   0.287294
  0.481000  -1.057677   0.287124
  0.482000  -1.056993   0.286956
  0.483000  -1.056312   0.286789
  0.484000  -1.055636   0.286623
  0.485000  -1.054965   0.286459
  0.486000  -1.054297   0.286295
  0.487000  -1.053633   0.286132
  0.488000  -1.052974   0.285970
  0.489000  -1.052319   0.285810
  0.490000  -1.051668   0.285650
  0.491000  -1.051021   0.285491
  0.492000  -1.050378   0.285334
  0.493000  -1.049739   0.285177
  0.494000  -1.049104   0.285022
  0.495000  -1.048473   0.284867
  0.496000  -1.047846   0.284714
  0.497000  -1.047224   0.284561
  0.498000  -1.046605   0.284410
  0.499000  -1.045990   0.284260
  0.500000  -1.045379   0.284110
  0.501000  -1.044773   0.283962
  0.502000  -1.044170   0.283814
  0.503000  -1.043571   0.283668
  0.504000  -1.042976   0.283522
  0.505000  -1.042385   0.283378
  0.506000  -1.041797   0.283234
  0.507000  -1.041214   0.283092
  0.508000  -1.040634   0.282950
  0.509000  -1.040059   0.282810
  0.510000  -1.039487   0.282670
  0.511000  -1.038919   0.282532
  0.512000  -1.038354   0.282394
  0.513000  -1.037794   0.282257
  0.514000  -1.037237   0.282121
  0.515000  -1.036684   0.281987
  0.516000  -1.036135   0.281853
  0.517000  -1.035590   0.281720
  0.518000  -1.035048   0.281588
